Id,Name,Title,Release,BGG Ranking,BGG Rating,Average Rating,Average Rating Z,Tags
3439,HeroClix,"<a href=""https://boardgamegeek.com/boardgame/3439"">HeroClix</a><br><img src=""https://cf.geekdo-images.com/OGIl25n9Zw_tvRfzwpxSrg__thumb/img/QEoBt3NqIuAa5m9dWCzl99jhWMM=/fit-in/200x150/filters:strip_icc()/pic90721.jpg"" alt=""HeroClix"">",2002,#2375,6.0,6.325925925925926,-0.35338806299531983,"Collectible Components, Comic Book / Strip, Dice, Fighting, Miniatures"
278,Catan Card Game,"<a href=""https://boardgamegeek.com/boardgame/278"">Catan Card Game</a><br><img src=""https://cf.geekdo-images.com/CRCOv0p4FgZaze_3fGuhIA__thumb/img/m3u-LAThaaVm0fBYatEMsbrl_bk=/fit-in/200x150/filters:strip_icc()/pic706443.jpg"" alt=""Catan Card Game"">",1996,#1006,6.5,6.327215189873418,-0.3446235491729005,"Card Game, City Building, Territory Building"
42898,Pocket Battles: Celts vs. Romans,"<a href=""https://boardgamegeek.com/boardgame/42898"">Pocket Battles: Celts vs. Romans</a><br><img src=""https://cf.geekdo-images.com/53EJR0wv427IWGBARpLoCQ__thumb/img/j2EXZgLpnTc2v4ADBrtgecnn3uU=/fit-in/200x150/filters:strip_icc()/pic550588.jpg"" alt=""Pocket Battles: Celts vs. Romans"">",2009,#3266,5.9,6.478947368421053,-0.2417175814123092,"Ancient, Wargame"
34169,Potion-Making: Practice,"<a href=""https://boardgamegeek.com/boardgame/34169"">Potion-Making: Practice</a><br><img src=""https://cf.geekdo-images.com/EASAZsc1BrSqzU6vBvbvDw__thumb/img/8DVyAkjMYSIx7WrddMD9xciIun0=/fit-in/200x150/filters:strip_icc()/pic1048351.jpg"" alt=""Potion-Making: Practice"">",2005,#5168,5.7,5.1,-1.1425160895991902,"Card Game, Fantasy"
67928,Puzzle Strike,"<a href=""https://boardgamegeek.com/boardgame/67928"">Puzzle Strike</a><br><img src=""https://cf.geekdo-images.com/Er7FMfvIwnrc6TtmlPoi5Q__thumb/img/JsU-aS2hwGxVYAXurc7ZOuOJjRs=/fit-in/200x150/filters:strip_icc()/pic710936.jpg"" alt=""Puzzle Strike"">",2010,#2052,6.1,7.4944444444444445,0.38425869860473455,"Card Game, Fantasy, Video Game Theme"
980,Al Cabohne,"<a href=""https://boardgamegeek.com/boardgame/980"">Al Cabohne</a><br><img src=""https://cf.geekdo-images.com/yiik2fv203GZg7mh_cDdGA__thumb/img/B1f4CCNNA2zvodUEMUCkoOIjFXk=/fit-in/200x150/filters:strip_icc()/pic19358.jpg"" alt=""Al Cabohne"">",2000,#5255,5.7,6.166666666666667,-0.38793217531582297,"Card Game, Farming, Mafia"
376,DruidenWalzer,"<a href=""https://boardgamegeek.com/boardgame/376"">DruidenWalzer</a><br><img src=""https://cf.geekdo-images.com/CrqcHHFRGrP2NliE_xBY6A__thumb/img/T0kheZUGpg3axVf3I3M9s35phw4=/fit-in/200x150/filters:strip_icc()/pic3758517.jpg"" alt=""DruidenWalzer"">",1999,#6694,5.6,7.03125,-0.014527535331747457,Card Game
10,Elfenland,"<a href=""https://boardgamegeek.com/boardgame/10"">Elfenland</a><br><img src=""https://cf.geekdo-images.com/Ea4jN5Ko5bPrXrU_AYhhzg__thumb/img/f4FrKXF0HKlPS2jH1AW4_-7Hek8=/fit-in/200x150/filters:strip_icc()/pic1798136.jpg"" alt=""Elfenland"">",1998,#1110,6.5,6.6,-0.09135521367515326,"Fantasy, Travel"
938,Enchanted Forest,"<a href=""https://boardgamegeek.com/boardgame/938"">Enchanted Forest</a><br><img src=""https://cf.geekdo-images.com/B1QyvCL5mvIWsKlmFxdQlA__thumb/img/TrSJuS4EN9wGZKKOHjFX_w-X_YY=/fit-in/200x150/filters:strip_icc()/pic2392501.jpg"" alt=""Enchanted Forest"">",1981,#7112,5.6,5.363636363636363,-0.9853316944662993,"Adventure, Card Game, Children&#x27;s Game, Deduction, Fantasy, Memory, Movies / TV / Radio theme"
200,Entdecker,"<a href=""https://boardgamegeek.com/boardgame/200"">Entdecker</a><br><img src=""https://cf.geekdo-images.com/qXUTaJxFGRqX1G9hCHv_vQ__thumb/img/roUGcOtYQxZXvdZvZEnp5t_tFrM=/fit-in/200x150/filters:strip_icc()/pic194144.jpg"" alt=""Entdecker"">",1996,#2925,5.9,6.590909090909091,0.002439972041143495,Exploration
